event_id,round,player1_user_id,player1_army,player1_game_primary_points,player1_game_number,player1_game_points,player1_game_result,player1_game_result_cat,player1_game_margin_of_victory,player2_user_id,player2_army,player2_game_primary_points,player2_game_number,player2_game_points,player2_game_result,player2_game_result_cat,player2_game_margin_of_victory
MBsb4A2M7l,2,8XWltGHC3Y,Adeptus Astartes,0.0,2.0,2.0,0.0,loss,-18.0,nL1NBigPLS,Novitiates,6.0,2.0,20.0,2.0,win,18.0
MBsb4A2M7l,2,9CR3yKHCLB,Hunter Clade,4.0,2.0,10.0,0.0,loss,-10.0,MGJX4QD00D,Craftworld,6.0,2.0,20.0,2.0,win,10.0
MBsb4A2M7l,2,EO47BN0Sx5,Legionary,0.0,2.0,14.0,2.0,win,8.0,LQ0W31783V,Tomb World,2.0,2.0,6.0,0.0,loss,-8.0
MBsb4A2M7l,3,nL1NBigPLS,Novitiates,6.0,3.0,20.0,2.0,win,14.0,LQ0W31783V,Tomb World,1.0,3.0,6.0,0.0,loss,-14.0
MBsb4A2M7l,3,9CR3yKHCLB,Hunter Clade,5.0,3.0,16.0,2.0,win,10.0,8XWltGHC3Y,Adeptus Astartes,1.0,3.0,6.0,0.0,loss,-10.0
MBsb4A2M7l,3,MGJX4QD00D,Craftworld,6.0,3.0,17.0,2.0,win,11.0,EO47BN0Sx5,Legionary,0.0,3.0,6.0,0.0,loss,-11.0
w8pqvZiVq3,1,vAK0IRqbpv,Talons of the Emperor,6.0,1.0,18.0,2.0,win,12.0,gwN9j56Ymi,Grey Knights,2.0,1.0,6.0,0.0,loss,-12.0
w8pqvZiVq3,1,jLVVkrMZgC,Ork Kommandos,1.0,1.0,11.0,2.0,win,1.0,XEyHFZr9XD,Phobos Strike Team,6.0,1.0,10.0,0.0,loss,-1.0
w8pqvZiVq3,1,Jj4pKAWAst,Novitiates,3.0,1.0,11.0,2.0,win,2.0,wufgsY0O79,Tomb World,5.0,1.0,9.0,0.0,loss,-2.0
w8pqvZiVq3,1,2dXR940NLA,Death Guard,2.0,1.0,6.0,0.0,loss,-3.0,OAKFvGF0So,Void-Dancer Troupe,2.0,1.0,9.0,2.0,win,3.0
w8pqvZiVq3,2,XEyHFZr9XD,Phobos Strike Team,5.0,2.0,12.0,1.0,tie,0.0,wufgsY0O79,Tomb World,4.0,2.0,12.0,1.0,tie,0.0
w8pqvZiVq3,2,2dXR940NLA,Death Guard,2.0,2.0,5.0,0.0,loss,-12.0,gwN9j56Ymi,Grey Knights,5.0,2.0,17.0,2.0,win,12.0
w8pqvZiVq3,2,OAKFvGF0So,Void-Dancer Troupe,3.0,2.0,13.0,2.0,win,3.0,jLVVkrMZgC,Ork Kommandos,3.0,2.0,10.0,0.0,loss,-3.0
w8pqvZiVq3,2,vAK0IRqbpv,Talons of the Emperor,4.0,2.0,15.0,1.0,tie,0.0,Jj4pKAWAst,Novitiates,4.0,2.0,15.0,1.0,tie,0.0
w8pqvZiVq3,3,Jj4pKAWAst,Novitiates,1.0,3.0,5.0,0.0,loss,-11.0,gwN9j56Ymi,Grey Knights,5.0,3.0,16.0,2.0,win,11.0
w8pqvZiVq3,3,jLVVkrMZgC,Ork Kommandos,0.0,3.0,6.0,2.0,win,4.0,wufgsY0O79,Tomb World,0.0,3.0,2.0,0.0,loss,-4.0
w8pqvZiVq3,3,XEyHFZr9XD,Phobos Strike Team,3.0,3.0,13.0,2.0,win,2.0,2dXR940NLA,Death Guard,0.0,3.0,11.0,0.0,loss,-2.0
w8pqvZiVq3,3,OAKFvGF0So,Void-Dancer Troupe,6.0,3.0,18.0,2.0,win,18.0,vAK0IRqbpv,Talons of the Emperor,0.0,3.0,0.0,0.0,loss,-18.0
iDjSWyYHic,1,i2YKqLVKOV,Legionary,2.0,1.0,7.0,0.0,loss,-6.0,nV7w1P0dE0,Veteran Guardsmen,4.0,1.0,13.0,2.0,win,6.0
iDjSWyYHic,1,1OyJMBfcKq,Novitiates,6.0,1.0,18.0,2.0,win,12.0,UdnBQawSaG,Chaos Daemons,1.0,1.0,6.0,0.0,loss,-12.0
iDjSWyYHic,1,qUbPdIXRkw,Veteran Guardsmen,2.0,1.0,7.0,2.0,win,5.0,SAV8a4XvF7,Pathfinders,0.0,1.0,2.0,0.0,loss,-5.0
iDjSWyYHic,1,Sjhb2yH8y1,Ork Kommandos,4.0,1.0,12.0,2.0,win,4.0,skTlUNxtTd,Pathfinders,4.0,1.0,8.0,0.0,loss,-4.0
iDjSWyYHic,1,inMJYE9jxr,Phobos Strike Team,1.0,1.0,3.0,0.0,loss,-12.0,OEbK66GoMC,Hunter Clade,5.0,1.0,15.0,2.0,win,12.0
iDjSWyYHic,1,OcluNW0oCT,Void-Dancer Troupe,5.0,1.0,7.0,0.0,loss,-11.0,B2AK93JFVF,Phobos Strike Team,6.0,1.0,18.0,2.0,win,11.0
iDjSWyYHic,1,zD5HAWP0l0,Death Guard,1.0,1.0,7.0,0.0,loss,-3.0,2EHPB49WNA,Pathfinders,5.0,1.0,10.0,2.0,win,3.0
iDjSWyYHic,1,ZqJz7pKCiB,Phobos Strike Team,3.0,1.0,6.0,0.0,loss,-7.0,jWNF8RD51g,Pathfinders,5.0,1.0,13.0,2.0,win,7.0
iDjSWyYHic,1,gJvGnXrjsP,Pathfinders,6.0,1.0,18.0,2.0,win,17.0,nabDa5yXw7,Phobos Strike Team,1.0,1.0,1.0,0.0,loss,-17.0
iDjSWyYHic,1,BsSqpVRkMq,Void-Dancer Troupe,6.0,1.0,18.0,2.0,win,14.0,Izh4VkShav,Novitiates,2.0,1.0,4.0,0.0,loss,-14.0
